"","var","SEGMENT","CHANNEL","para","var_group","model_var","model_name_group"
"67","DM_3","TRADE","WEB",0.01138973045,"DIRECT_MAIL","SALES","sales"
"68","HBASE_1","DIY","CONTACT_CENTRE",-0.01219,"HOMEBASE","SALES","sales"
"69","HBASE_1","DIY","WEB",-0.009598,"HOMEBASE","SALES","sales"
"70","LEVEL_SHIFTS","DIY","CALL_COLLECT",1.087003,"LEVEL","SALES","sales"
"71","LEVEL_SHIFTS","TRADE","CALL_COLLECT",1.087003,"LEVEL","SALES","sales"
"72","LEVEL_SHIFTS","DIY","CLICK_COLLECT",1.087003,"LEVEL","SALES","sales"
"73","LEVEL_SHIFTS","TRADE","CLICK_COLLECT",1.087003,"LEVEL","SALES","sales"
"74","LEVEL_SHIFTS","DIY","CONTACT_CENTRE",1.087003,"LEVEL","SALES","sales"
"75","LEVEL_SHIFTS","TRADE","CONTACT_CENTRE",1.087003,"LEVEL","SALES","sales"
"76","LEVEL_SHIFTS","DIY","TRADE_COUNTER",1.087003,"LEVEL","SALES","sales"
"77","LEVEL_SHIFTS","TRADE","TRADE_COUNTER",1.087003,"LEVEL","SALES","sales"
"78","LEVEL_SHIFTS","DIY","WEB",1.087003,"LEVEL","SALES","sales"
"79","LEVEL_SHIFTS","TRADE","WEB",1.087003,"LEVEL","SALES","sales"
"80","NAT_PRESS","DIY","CALL_COLLECT",0.0156393707086675,"NATIONAL_PRESS","SALES","sales"
"81","NAT_PRESS","DIY","CLICK_COLLECT",0.0134645955167901,"NATIONAL_PRESS","SALES","sales"
"82","NAT_PRESS","DIY","CONTACT_CENTRE",0.023821,"NATIONAL_PRESS","SALES","sales"
"83","NAT_PRESS","DIY","TRADE_COUNTER",0.00721527589190522,"NATIONAL_PRESS","SALES","sales"
"84","NAT_PRESS","DIY","WEB",0.00288132653237626,"NATIONAL_PRESS","SALES","sales"
"85","NAT_PRESS","TRADE","CALL_COLLECT",0.00767131453373898,"NATIONAL_PRESS","SALES","sales"
"86","NAT_PRESS","TRADE","CLICK_COLLECT",0.00763325454930374,"NATIONAL_PRESS","SALES","sales"
"87","NAT_PRESS","TRADE","TRADE_COUNTER",0.00526973484762653,"NATIONAL_PRESS","SALES","sales"
"88","NAT_PRESS","TRADE","WEB",0.00590539341041352,"NATIONAL_PRESS","SALES","sales"
"89","NAT_PRESS_1","DIY","CALL_COLLECT",0.01293407397,"NATIONAL_PRESS","SALES","sales"
"90","NAT_PRESS_1","DIY","CLICK_COLLECT",0.00823,"NATIONAL_PRESS","SALES","sales"
"91","NAT_PRESS_1","DIY","TRADE_COUNTER",0.00576,"NATIONAL_PRESS","SALES","sales"
"92","NAT_PRESS_1","DIY","WEB",0.00329361518,"NATIONAL_PRESS","SALES","sales"
"93","NAT_PRESS_1","TRADE","CLICK_COLLECT",0.00543033053,"NATIONAL_PRESS","SALES","sales"
"94","NAT_PRESS_1","TRADE","TRADE_COUNTER",0.00097,"NATIONAL_PRESS","SALES","sales"
"95","NAT_PRESS_2","DIY","CALL_COLLECT",0.00998,"NATIONAL_PRESS","SALES","sales"
"96","NAT_PRESS_2","DIY","CLICK_COLLECT",0.00368,"NATIONAL_PRESS","SALES","sales"
"97","NAT_PRESS_2","DIY","WEB",0.00388,"NATIONAL_PRESS","SALES","sales"
"98","NAT_PRESS_3","DIY","CALL_COLLECT",0.00778,"NATIONAL_PRESS","SALES","sales"
"99","NAT_PRESS_3","TRADE","CALL_COLLECT",0.009936,"NATIONAL_PRESS","SALES","sales"
"100","NAT_RADIO_3","DIY","CALL_COLLECT",0.00673485718,"NATIONAL_RADIO","SALES","sales"
"101","NAT_RADIO_3","DIY","CLICK_COLLECT",0.00681644795,"NATIONAL_RADIO","SALES","sales"
"102","NAT_RADIO_3","DIY","CONTACT_CENTRE",0.006208,"NATIONAL_RADIO","SALES","sales"
"103","NAT_RADIO_3","DIY","TRADE_COUNTER",0.00679111077,"NATIONAL_RADIO","SALES","sales"
"104","NAT_RADIO_3","DIY","WEB",0.00649320292,"NATIONAL_RADIO","SALES","sales"
"105","NAT_RADIO_3","TRADE","CALL_COLLECT",0.008098,"NATIONAL_RADIO","SALES","sales"
"106","NAT_RADIO_3","TRADE","CLICK_COLLECT",0.00833956582,"NATIONAL_RADIO","SALES","sales"
"107","NAT_RADIO_3","TRADE","CONTACT_CENTRE",0.00836154316,"NATIONAL_RADIO","SALES","sales"
"108","NAT_RADIO_3","TRADE","TRADE_COUNTER",0.00847188373,"NATIONAL_RADIO","SALES","sales"
"109","NAT_RADIO_3","TRADE","WEB",0.00829288156,"NATIONAL_RADIO","SALES","sales"
"110","NEGATIVE_SEASON","DIY","CALL_COLLECT",0.951638,"NEGATIVE_SEASON","SALES","sales"
"111","NEGATIVE_SEASON","TRADE","CALL_COLLECT",0.951638,"NEGATIVE_SEASON","SALES","sales"
"112","NEGATIVE_SEASON","DIY","CLICK_COLLECT",0.951638,"NEGATIVE_SEASON","SALES","sales"
"113","NEGATIVE_SEASON","TRADE","CLICK_COLLECT",0.951638,"NEGATIVE_SEASON","SALES","sales"
"114","NEGATIVE_SEASON","DIY","CONTACT_CENTRE",0.951638,"NEGATIVE_SEASON","SALES","sales"
"115","NEGATIVE_SEASON","TRADE","CONTACT_CENTRE",0.951638,"NEGATIVE_SEASON","SALES","sales"
"116","NEGATIVE_SEASON","DIY","TRADE_COUNTER",0.951638,"NEGATIVE_SEASON","SALES","sales"
"117","NEGATIVE_SEASON","TRADE","TRADE_COUNTER",0.951638,"NEGATIVE_SEASON","SALES","sales"
"118","NEGATIVE_SEASON","DIY","WEB",0.951638,"NEGATIVE_SEASON","SALES","sales"
"119","NEGATIVE_SEASON","TRADE","WEB",0.951638,"NEGATIVE_SEASON","SALES","sales"
"120","OOH","TRADE","CALL_COLLECT",0.00108,"OUTDOOR","SALES","sales"
"121","OOH","TRADE","CLICK_COLLECT",0.00108,"OUTDOOR","SALES","sales"
"122","OOH","TRADE","CONTACT_CENTRE",0.00108,"OUTDOOR","SALES","sales"
"123","OOH","TRADE","TRADE_COUNTER",0.00108,"OUTDOOR","SALES","sales"
"124","OOH","TRADE","WEB",0.00108,"OUTDOOR","SALES","sales"
"125","OOH_1","DIY","CALL_COLLECT",0.0028881104,"OUTDOOR","SALES","sales"
"126","OOH_1","DIY","CLICK_COLLECT",0.00499470865,"OUTDOOR","SALES","sales"
"127","OOH_1","DIY","CONTACT_CENTRE",0.00245,"OUTDOOR","SALES","sales"
